item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
quantAAR,R Library for Quantitative Analysis in Archaeology.,https://github.com/ISAAKiel/quantAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Statistical analysis,,,,,,https://archive.org/details/github.com-ISAAKiel-quantAAR_-_2020-07-09_13-14-14
tabula,Analysis and visualization of archaeological count data.,,,,,,,,,https://CRAN.R-project.org/package=tabula,,https://codeberg.org/tesselle/tabula,https://packages.tesselle.org/tabula/,https://doi.org/10.21105/joss.01821,10.5281/zenodo.1489944,nfrerebeau,,,,,,Packages and libraries,R,Statistical analysis,Seriation,,,,,https://archive.org/details/github.com-tesselle-tabula_-_2021-01-26_20-01-25
tosca,Tool for online seriation and correspondence analysis.,https://github.com/ISAAKiel/tosca,,,,,,,,,,,,,,ISAAKiel,,,,,,Scripts,R,Statistical analysis,,,,,,
CAinterprTools,R package to help interpreting correspondence analysis' results.,https://github.com/gianmarcoalberti/CAinterprTools,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,R,Statistical analysis,,,,,,https://archive.org/details/github.com-gianmarcoalberti-CAinterprTools_-_2018-05-30_15-29-32
CAseriation,R package for contingency tables seriation via correspondence analysis.,https://github.com/gianmarcoalberti/CAseriation,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,R,Statistical analysis,Seriation,,,,,https://archive.org/details/github.com-gianmarcoalberti-CAseriation_-_2018-06-10_15-14-41
Binomial-Co-occurrence-Assessment,R script that implements a means for statistically assessing the degree of co-occurrence between classes within a dataset.,https://github.com/mpeeples2008/Binomial-Co-occurrence-Assessment,,,,,,,,,,,,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,https://archive.org/details/github.com-mpeeples2008-Binomial-Co-occurrence-Assessment_-_2018-05-11_03-58-41
Kmeans,Script for conducting k-means cluster analysis using r. This script provides output designed to help the user select an appropriate cluster solution.,https://github.com/mpeeples2008/Kmeans,,,,,,,,,,,http://www.mattpeeples.net/kmeans.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,https://archive.org/details/github.com-mpeeples2008-Kmeans_-_2018-05-10_22-06-21
Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,Script for calculating brainerd-robinson coefficients based on tabular count or percent data. This script also estimates the probability that a given difference between two samples is the product of sampling error.,https://github.com/mpeeples2008/Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,,,,,,,,,,,http://www.mattpeeples.net/BR.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,https://archive.org/details/github.com-mpeeples2008-brainerd-robinson-similarity-coefficient-and-sampling-er
Mean-Ceramic-Date-and-Error-Estimation,Script for calculating mean ceramic dates based on tabular data. This script also estimates sampling error using a bootstrapping procedure.,https://github.com/mpeeples2008/Mean-Ceramic-Date-and-Error-Estimation,,,,,,,,,,,http://www.mattpeeples.net/mcd.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,Ceramic analysis,,,,,https://archive.org/details/github.com-mpeeples2008-Mean-Ceramic-Date-and-Error-Estimation_-_2018-05-10_22-18-24
Bootstrap-Correspondence-Analysis,R-script for conducting and evaluating bootstrapped correspondence analyses.,https://github.com/mpeeples2008/Bootstrap-Correspondence-Analysis,,,,,,,,,,,http://www.mattpeeples.net/caboot.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,https://archive.org/details/github.com-mpeeples2008-Bootstrap-Correspondence-Analysis_-_2018-05-10_21-36-03
ca,R script for seriation using correspondence analysis.,,,,,,,,,,,,http://www.mattpeeples.net/ca.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,Seriation,,,,,
LISA,Moran's i and getis-ord g* analysis.,,,,,,,,,,,,http://www.mattpeeples.net/modules/LISA.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,
PLC,Pure locational clustering.,,,,,,,,,,,,http://www.mattpeeples.net/modules/PLC.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,
UnconstrainedClustering,Unconstrained clustering.,,,,,,,,,,,,http://www.mattpeeples.net/modules/UnconstrainedClustering.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,
BasicMapping,Working with map data in r.,,,,,,,,,,,,http://www.mattpeeples.net/modules/BasicMapping.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,
PointPattern,Point pattern analysis.,,,,,,,,,,,,http://www.mattpeeples.net/modules/PointPattern.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,,,,,,
sindwem,"This r package contains exactly one function, that calculates the ""sum of individual weighted means"" according to a methodology that is quite common among archaeologists and was first published in 1988 by elisabeth fentress and philip perkins.",,,,https://bitbucket.org/steko/mpi.r/src/default/,,,,,,,,,,,steko,,,,,,Packages and libraries,R,Statistical analysis,,,,,,
Explographe,Application (in libreoffice calc) for serializing a graphic matrix from counting tables. The application makes it possible to obtain either a serograph or a graph of the pvi matrograph type (visualization of the differences in independence from the percentages of independence values) which does not favor the vision of the variables over that of the lines and more suitable for non-chronological treatments.,,,,,,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/outils-danalyse-graphique-des-donnees,,,Bruno Desachy,,,,,,Packages and libraries,LibreOffice Calc,Statistical analysis,,,,,,
predictSource,"A package to analyze data used to determine whether samples from multiple sources can be separated, to predict the sources of samples from unknown sources, and to evaluation the validity of those predictions. Sample data can include both quantitative and qualitative data. The package includes functions for creating an analysis file from multiple files and exploratory data analysis, as well as multivariate statistical methods to determine source separation, predict sources of unknown samples, and evaluate the validity of the predictions (principal components, classification trees, and random forests).",https://github.com/benmarwick/predictSource,,,,,,,,,,,,,,benmarwick,,,,,,Packages and libraries,R,Statistical analysis,,,,,,https://archive.org/details/github.com-benmarwick-predictSource_-_2020-06-23_20-14-59
Artifact_Class_Diversity,Estimates artifact class diversity in multiple geographic regions.,https://github.com/taphocoenose/Artifact_Class_Diversity,,,,,,,,,,,,,,taphocoenose,,,,,,Scripts,R,Spatial analysis,,,,,,https://archive.org/details/github.com-taphocoenose-Artifact_Class_Diversity_-_2020-10-06_16-50-13
ede_interpolation,A qgis 3 plugin for spatio-temporal interpolation of archaeological settlement evidence.,https://github.com/demjanp/ede_interpolation,,,,,,,,,,,https://plugins.qgis.org/plugins/ede_interpolation/,,,demjanp,,,,,,Packages and libraries,QGIS,Spatial analysis,,,,,,https://archive.org/details/github.com-demjanp-ede_interpolation_-_2020-06-05_13-54-37
FuzzyViewshed,Arcgis toolbox for fuzzy viewshed calculation.,https://github.com/gianmarcoalberti/FuzzyViewshed,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,ArcGIS,Spatial analysis,Viewshed analysis,,,,,https://archive.org/details/github.com-gianmarcoalberti-FuzzyViewshed_-_2017-10-31_07-54-32
QGIS-visibility-analysis,"Calculates visible surface from a given observer point over a digital elevation model. The plugin is intended for more complex modelling, such as the depth below the visible horizon or generation of intervisibilty networks between groups of points. It is particularly performant for multiple viewshed calculations form a set of fixed points.",https://github.com/zoran-cuckovic/QGIS-visibility-analysis,,,,,,,,,,,http://www.zoran-cuckovic.from.hr/QGIS-visibility-analysis/,,,zoran-cuckovic,,,,,,Packages and libraries,QGIS,Spatial analysis,Viewshed analysis,,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-visibility-analysis_-_2021-01-14_19-11-48
senscape,"A toolbox for modelling human perception of topography for qgis, based on qgis viewshed module.",https://github.com/zoran-cuckovic/senscape,,,,,,,,,,,,,,zoran-cuckovic,,,,,,Packages and libraries,QGIS,Spatial analysis,Viewshed analysis,,,,,https://archive.org/details/github.com-zoran-cuckovic-senscape_-_2017-09-24_10-34-14
ArchaeoLines,The archaeolines plugin displays any combination of declination arcs most relevant to archaeo- or ethnoastronomical studies.,https://github.com/Stellarium/stellarium/tree/master/plugins/ArchaeoLines,,,,,,,,,,,http://stellarium.sourceforge.net/wiki/index.php/ArchaeoLines_plugin,,,stellarium,,,,,,Packages and libraries,Stellarium,Spatial analysis,Viewshed analysis,Archaeoastronomy,,,,
pathAAR,"R package to reconstruct paths using archaeological monuments, model parameters of infrastructure and evaluate those parameters, model parameters of infrastructure and evaluate those parameters.",https://github.com/ISAAKiel/pathAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Spatial analysis,,,,,,https://archive.org/details/github.com-ISAAKiel-pathAAR_-_2020-11-02_14-32-45
