Maintainer,MaintainerURL,Name,PrimaryRepoType,PrimaryRepoURL,SecondaryRepoType,SecondaryRepoURL,TertiaryRepoType,TertiaryRepoURL,Description,Tag1,Tag2,Tag3,Tag4,Tag5
## Tools for General Use,,,,,,,,,,,,,,
### Compiled Software,,,,,,,,,,,,,,
archiedb,https://github.com/archiedb/,archie,GitHub,https://github.com/archiedb/archie,,,,,A light-weight database application designed to standardize and simplify data entry of archaeological or historical artifacts,,,,,
Big-Ancient-Mediterranean,https://github.com/Big-Ancient-Mediterranean/,BAM,GitHub,https://github.com/Big-Ancient-Mediterranean/BAM,,,,,"A tool for the geospatial analysis, literary network visualization, and plot mapping of ancient texts",,,,,
anatolian,https://github.com/anatolian/,field-photographs,GitHub,https://github.com/anatolian/field-photographs,,,,,Android apps for archaeology that enable photography during field work,,,,,
anatolian,https://github.com/anatolian/,archaeology-object-data-collector-app,GitHub,https://github.com/anatolian/archaeology-object-data-collector-app,,,,,"Android App for remotely controlling camera, weight scale and connecting to database for recording data on archaeology objects",,,,,
anatolian,https://github.com/anatolian/,archaeological-survey-location-collector,GitHub,https://github.com/anatolian/archaeological-survey-location-collector,,,,,"An app for use in archaeological field survey to collect high-accurate point locations, photographs, and other data",,,,,
andredebuisne,https://github.com/andredebuisne/,AIS,GitHub,https://github.com/andredebuisne/AIS,,,,,Archaeological Information System,,,,,
arklab,https://gitlab.com/arklab/,ArkMatrix,GitLab,https://gitlab.com/arklab/ArkMatrix,,, ,,"A tool for creating and manipulating Harris Matrices, part of the Archaeological Recording Kit ARK",,,,,
,,,,,,,,,,,,,,
### R Packages,,,,,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,recexcavAAR,GitHub,https://github.com/ISAAKiel/recexcavAAR/,CRAN,,,,R package for 3D reconstruction of archaeological excavations,,,,,
ISAAKiel,https://github.com/ISAAKiel/,pathAAR,GitHub,https://github.com/ISAAKiel/pathAAR,CRAN,,,,"R Package to reconstruct paths using archaeological monuments, model parameters of infrastructure and evaluate those parameters, model parameters of infrastructure and evaluate those parameters",,,,,
ISAAKiel,https://github.com/ISAAKiel/,shapAAR,GitHub,https://github.com/ISAAKiel/shapAAR,CRAN,,,,"An R package for the extraction, analysis and classification of not only, archaeological objects from scanned images, archaeological objects from scanned images",,,,,
ISAAKiel,https://github.com/ISAAKiel/,aoristAAR,GitHub,https://github.com/ISAAKiel/aoristAAR,CRAN,,,,A R package for the aoristic analysis of archaeological data,,,,,
andrewcparnell,https://github.com/andrewcparnell/,Bchron,GitHub,https://github.com/andrewcparnell/Bchron,CRAN,https://cran.rstudio.com/web/packages/Bchron/index.html,,,"Radiocarbon Dating, Age-Depth Modelling, Relative Sea Level Rate Estimation, and Non-Parametric Phase Modelling",,,,,
marieannevibet,https://github.com/marieannevibet/,ArchaeoPhases,GitHub,https://github.com/marieannevibet/ArchaeoPhases,CRAN,https://cran.r-project.org/web/packages/ArchaeoPhases/index.html,,,"Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'",,,,,
"Erik Otarola-Castillo, Jesse Wolfhagen, Max D. Price",,zooaRch,CRAN,https://cran.r-project.org/web/packages/zooaRch/,,,,,The zooaRch package provides analytical tools to make inferences on zooarchaeological data,,,,,
zooaRchGUI,https://github.com/zooaRchGUI/,zooaRchGUI,GitHub,https://github.com/zooaRchGUI/zooaRchGUI,Project Page,http://www.zooarchgui.org/,,,The zooaRchGUI package provides a Graphical User Interface (GUI) to analytical tools for zooarchaeological data in the R package,,,,,
ahb108,https://github.com/ahb108/,rcarbon,GitHub,https://github.com/ahb108/rcarbon,CRAN,,,,Methods for calibrating and analysing radiocarbon dates,,,,,
,,,,,,,,,,,,,,
### R Scripts,,,,,,,,,,,,,,
benmarwick,https://github.com/benmarwick/,munsell-plot.R,Gist,https://gist.github.com/benmarwick/f32cbc2fe7297ec9f276b52c118a249a,,,,,Make a stratigraphic-style plot-schematic of sediment colour using munsell values,,,,,
benmarwick,https://github.com/benmarwick/,osl_calibration.r,Gist,https://gist.github.com/benmarwick/5f996a0f52ba1d92f76968119f941bd8,,,,,,,,,,
benmarwick,https://github.com/benmarwick/,archaeology_on_wikipedia.R,Gist,https://gist.github.com/benmarwick/0d5e6526604e755b556f,,,,,How does wikipedia see archaeology?,,,,,
benmarwick,https://github.com/benmarwick/,tweet-edits-to-archaeology-articles.R,Gist,https://gist.github.com/benmarwick/ac394fd61f481393b0ae,,,,,Using R with wikipedia for various things,,,,,
benmarwick,https://github.com/benmarwick/,artefact-morpho.R,Gist,https://gist.github.com/benmarwick/6260541,,,,,"R code for converting B&W jpgs of artefact silhouettes to matrices and computing basic Elliptical Fourier statistics, including PCA and MANOVA",,,,,
anatolian,https://github.com/anatolian/,ceramic-computation,GitHub,https://github.com/anatolian/ceramic-computation,,,,,"R scripts for digitizing, processing, analyzing, and comparing archaeological ceramic 2d profile drawings, photographs, and other data",,,,,
mpeeples2008,https://github.com/mpeeples2008/,Bootstrap-Correspondence-Analysis,GitHub,https://github.com/mpeeples2008/Bootstrap-Correspondence-Analysis,,,,,"R-script for conducting and evaluating bootstrapped correspondence analyses following methods published by Peeples and Schachner 2012, in the Journal of Archaeological Science",,,,,
mpeeples2008,https://github.com/mpeeples2008/,Mean-Ceramic-Date-and-Error-Estimation,GitHub,https://github.com/mpeeples2008/Mean-Ceramic-Date-and-Error-Estimation,,,,,"Script for calculating mean ceramic dates based on tabular data. This script also estimates sampling error using a bootstrapping procedure, ",,,,,
mpeeples2008,https://github.com/mpeeples2008/,Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,GitHub,https://github.com/mpeeples2008/Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,,,,,Script for calculating Brainerd-Robinson coefficients based on tabular count or percent data. This script also estimates the probability that a given difference between two samples is the product of sampling error,,,,,
mpeeples2008,https://github.com/mpeeples2008/,Kmeans,GitHub,https://github.com/mpeeples2008/Kmeans,,,,,Script for conducting K-means cluster analysis using R. This script provides output designed to help the user select an appropriate cluster solution,,,,,
mpeeples2008,https://github.com/mpeeples2008/,Ford-Diagram,GitHub,https://github.com/mpeeples2008/Ford-Diagram,,,,,This R Function creates a simple Ford diagram for archaeological seriation with error bars determined based on sample size were count data are given,,,,,
mpeeples2008,https://github.com/mpeeples2008/,Ceramic-Frequency-Date-Plot,GitHub,https://github.com/mpeeples2008/Ceramic-Frequency-Date-Plot,,,,,This R script produces a exploratory visual for assessing site date ranges originally suggested to me by Wesley Bernardini Redlands University,,,,,
mpeeples2008,https://github.com/mpeeples2008/,Binomial-Co-occurrence-Assessment,GitHub,https://github.com/mpeeples2008/Binomial-Co-occurrence-Assessment,,,,,The R-script implements a means for statistically assessing the degree of co-occurrence between classes within a dataset based on an idea origially suggested by James Allison at BYU and published by Keith Kintigh in 2006,,,,,
Matt Peeples,,mcd,,,Website,http://www.mattpeeples.net/mcd.html,,,R Script for Calculating Mean Ceramic Dates and Estimating Error,,,,,
Matt Peeples,,BR,,,Website,http://www.mattpeeples.net/BR.html,,,R Script for Calculating the Brainerd-Robinson Coefficient of Similarity and Assessing Sampling Error,,,,,
Matt Peeples,,ca,,,Website,http://www.mattpeeples.net/ca.html,,,R Script for Seriation Using Correspondence Analysis,,,,,
Matt Peeples,,kmeans,,,Website,http://www.mattpeeples.net/kmeans.html,,,R Script for K-Means Cluster Analysis,,,,,
,,,,,,,,,,,,,,
### Other Scripts,,,,,,,,,,,,,,
tsdye,https://github.com/tsdye/,harris-matrix,GitHub,https://github.com/tsdye/harris-matrix/,Website,http://tsdye.online/harris-matrix/homepage/,,,Write Graphviz dot files for archaeological sequence diagrams and Bayesian chronological models,,,,,
,,,,,,,,,,,,,,
### Plugins & Extensions,,,,,,,,,,,,,,
#### QGIS,,,,,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,profileAAR,GitHub,https://github.com/ISAAKiel/profileAAR,,,,,python qgis plugin of recexcavAAR's archprofile,,,,,
#### ArcGIS,,,,,,,,,,,,,,
gianmarcoalberti,https://github.com/gianmarcoalberti/,TRANSIT,GitHub,https://github.com/gianmarcoalberti/TRANSIT,,,,,GIS toolbox for estimating the duration of ancient sail-powered navigation,,,,,
gianmarcoalberti,https://github.com/gianmarcoalberti/,FuzzyViewshed,GitHub,https://github.com/gianmarcoalberti/FuzzyViewshed,,,,,ArcGIS toolbox for fuzzy viewshed calculation,,,,,
#### AutoCAD,,,,,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,ArchJobCAD,GitHub,https://github.com/ISAAKiel/ArchJobCAD,,,,,Tasks for Excavations in AutoCAD,,,,,
,,,,,,,,,,,,,,
#### R Shiny,,,,,,,,,,,,,,
mpeeples2008,https://github.com/mpeeples2008/,NAA analytical dashboard,GitHub,https://github.com/mpeeples2008/NAA_analytical_dashboard,,,,,Analytical Dashboard for conducting various analysis to group and assess groupings for Neutron Activation Analytical chemical compositional data,,,,,
,,,,,,,,,,,,,,
#### Unsorted,,,,,,,,,,,,,,
davidcorton,https://github.com/davidcorton/,archSeries,GitHub,https://github.com/davidcorton/archSeries,,,,,Frequency time-series tools for archaeology {R},,,,,
davidcorton,https://github.com/davidcorton/,osteoGIS,GitHub,https://github.com/davidcorton/osteoGIS,,,,,Plot data on skeletal templates quickly,,,,,
ISAAKiel,https://github.com/ISAAKiel/,quantAAR,GitHub,https://github.com/ISAAKiel/quantAAR,,,,,R Library for Quantitative Analysis in Archaeology,,,,,
